index,key,x,z,hash
0,,,,
1,,,,
2,,,,
3,-1597727834198,-86,-373,3
4,47244640247,-9,10,3
5,,,,
6,,,,
7,,,,
8,,,,
9,,,,
10,-1069446856955,-251,-250,10
11,,,,
12,,,,
13,,,,
14,,,,
15,,,,
16,,,,
17,,,,
18,,,,
19,,,,
20,,,,
21,,,,
22,,,,
23,,,,
24,,,,
25,,,,
26,,,,
27,,,,
28,,,,
29,,,,
30,,,,
31,-1653562409045,-85,-386,31
32,,,,
33,,,,
34,,,,
35,,,,
36,,,,
37,,,,
38,,,,
39,,,,
40,51539607547,-5,11,40
41,,,,
42,,,,
43,,,,
44,,,,
45,,,,
46,,,,
47,,,,
48,,,,
49,,,,
50,-1516123455778,-290,-354,50
51,,,,
52,,,,
53,-1567663063144,-104,-366,53
54,,,,
55,,,,
56,,,,
57,,,,
58,,,,
59,,,,
60,,,,
61,,,,
62,,,,
63,,,,
64,,,,
65,,,,
66,,,,
67,,,,
68,,,,
69,,,,
70,,,,
71,,,,
72,,,,
73,,,,
74,,,,
75,,,,
76,,,,
77,-1602022801504,-96,-374,77
78,,,,
79,,,,
80,103079215094,-10,23,80
81,,,,
82,,,,
83,,,,
84,,,,
85,,,,
86,,,,
87,,,,
88,-1627792605279,-95,-380,88
89,,,,
90,,,,
91,,,,
92,,,,
93,,,,
94,,,,
95,,,,
96,,,,
97,,,,
98,,,,
99,94489280507,-5,21,99
100,,,,
101,,,,
102,-1498943586603,-299,-350,102
103,,,,
104,,,,
105,,,,
106,,,,
107,,,,
108,,,,
109,,,,
110,,,,
111,,,,
112,,,,
113,,,,
114,,,,
115,-1627792605271,-87,-380,115
116,,,,
117,103079215100,-4,23,117
118,85899345920,0,20,117
119,,,,
120,,,,
121,-1619202670684,-92,-378,121
122,,,,
123,,,,
124,,,,
125,,,,
126,,,,
127,,,,
128,,,,
129,,,,
130,,,,
131,,,,
132,,,,
133,,,,
134,,,,
135,,,,
136,,,,
137,38654705652,-12,8,137
138,,,,
139,51539607545,-7,11,139
140,-1610612736089,-89,-376,140
141,,,,
142,,,,
143,,,,
144,,,,
145,,,,
146,73014444029,-3,16,146
147,,,,
148,,,,
149,,,,
150,,,,
151,,,,
152,,,,
153,,,,
154,,,,
155,,,,
156,,,,
157,,,,
158,,,,
159,,,,
160,,,,
161,,,,
162,,,,
163,,,,
164,-893353197777,-209,-209,164
165,,,,
166,,,,
167,,,,
168,,,,
169,,,,
170,,,,
171,,,,
172,,,,
173,,,,
174,,,,
175,,,,
176,,,,
177,,,,
178,,,,
179,,,,
180,,,,
181,,,,
182,,,,
183,,,,
184,,,,
185,,,,
186,,,,
187,,,,
188,,,,
189,,,,
190,,,,
191,,,,
192,,,,
193,,,,
194,,,,
195,,,,
196,,,,
197,,,,
198,,,,
199,,,,
200,,,,
201,,,,
202,,,,
203,,,,
